id,date,username,amount,product id
1,2021/12/13 17.28.20,rking,12,11
2,2021/12/13 21.21.32,lcall,12,11
3,2021/12/13 21.21.57,lcall,12,11
4,2021/12/13 21.21.57,lcall,12,11
5,2021/12/13 21.21.57,lcall,12,11
6,2021/12/13 21.21.57,lcall,12,11
7,2021/12/13 21.21.57,lcall,12,11
8,2021/12/13 21.21.57,lcall,12,11
9,2021/12/13 21.21.57,lcall,12,11
10,2021/12/13 21.21.57,lcall,12,11
11,2021/12/13 21.21.57,lcall,12,11
12,2021/12/13 21.21.57,lcall,12,11
13,2021/12/13 21.21.57,lcall,12,11
14,2021/12/13 21.21.57,lcall,12,11
15,2021/12/13 21.21.57,lcall,12,11
16,2021/12/13 21.21.57,lcall,12,11
17,2021/12/13 21.21.57,lcall,12,11
18,2021/12/13 21.21.57,lcall,12,11
19,2021/12/13 21.21.57,lcall,12,11
20,2021/12/13 21.21.58,lcall,12,11
21,2021/12/13 21.21.58,lcall,12,11
22,2021/12/13 21.21.58,lcall,12,11
23,2021/12/13 21.21.58,lcall,12,11
24,2021/12/13 21.21.58,lcall,12,11
25,2021/12/13 21.21.58,lcall,12,11
26,2021/12/13 21.21.58,lcall,12,11
27,2021/12/13 21.21.58,lcall,12,11
28,2021/12/13 21.21.58,lcall,12,11
29,2021/12/13 21.21.58,lcall,12,11
30,2021/12/13 21.21.58,lcall,12,11
31,2021/12/13 21.21.58,lcall,12,11
32,2021/12/13 21.21.58,lcall,12,11
33,2021/12/13 21.21.58,lcall,12,11
34,2021/12/13 21.21.58,lcall,12,11
35,2021/12/13 21.21.58,lcall,12,11
36,2021/12/13 21.21.58,lcall,12,11
37,2021/12/13 21.21.58,lcall,12,11
38,2021/12/13 21.21.58,lcall,12,11
39,2021/12/13 21.21.58,lcall,12,11
40,2021/12/13 21.21.58,lcall,12,11
41,2021/12/13 21.21.58,lcall,12,11
42,2021/12/13 21.21.58,lcall,12,11
